hostname,os_family,os_version,cpu_cores,memory_gb,gpu_present,domain_joined,open_ports,running_services,software_indicators,ad_groups,privilege_level,workstation_role,confidentiality,integrity,availability,record_source,confidence,is_synthetic
wks-0011,Windows,10,4,8,False,True,[ 135  139  445 3389],['Backup Agent' 'RDP' 'VPN Client'],['Chrome' 'Office' 'Teams'],['Help Desk'],Standard User,Standard User Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.91,True
wks-0012,Windows,10,32,16,False,True,[ 139  445 3389],['Backup Agent' 'VPN Client'],['Office' 'Teams' 'Workday'],['Help Desk'],Local Admin,HR Workstation,High,High,Moderate,synthetic_rules,0.72,True
wks-0013,macOS,13,32,16,True,False,[22],['EDR Agent' 'VPN Client'],['AutoCAD' 'MATLAB' 'SolidWorks'],['Domain Users' 'Finance'],Standard User,Engineering CAD Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.8,True
wks-0014,Ubuntu Desktop,22.04,4,32,False,True,[631],['Defender' 'EDR Agent' 'RDP' 'SSH'],['Office' 'PowerShell' 'PuTTY' 'RSAT' 'VMware Workstation'],['Engineering' 'SOC'],Privileged Admin,IT Admin Workstation,High,High,Moderate,synthetic_rules,0.91,True
wks-0015,Windows,10,4,16,False,True,[135 139],[],['Chrome' 'PowerShell' 'PuTTY' 'RSAT' 'VMware Workstation'],['Retail'],Local Admin,IT Admin Workstation,High,High,Moderate,synthetic_rules,0.93,True
wks-0016,Windows,11,16,16,False,True,[ 139  445 3389 5601],[],['Burp Suite' 'Chrome' 'Office' 'Splunk' 'Sysinternals' 'Wireshark' 'Zoom'],['Call Center' 'SOC'],Privileged Admin,SOC Analyst Workstation,High,High,Moderate,synthetic_rules,0.79,True
wks-0017,Ubuntu Desktop,22.04,4,32,False,True,[  22  631 5601],['Backup Agent' 'OneDrive Sync' 'SSH'],['Burp Suite' 'Splunk' 'Sysinternals' 'Wireshark'],['HR' 'Help Desk'],Local Admin,SOC Analyst Workstation,High,High,Moderate,synthetic_hybrid,0.94,True
wks-0018,Windows,11,4,16,True,True,[135 445],['Defender' 'EDR Agent' 'VPN Client'],['Adobe Creative Cloud' 'Blender' 'Figma' 'Office'],['Domain Users'],Power User,Graphic Design Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.89,True
wks-0019,Windows,11,4,16,False,True,[135],['Backup Agent' 'EDR Agent' 'Print Spooler' 'RDP'],['PuTTY' 'RDP' 'ServiceNow' 'Teams'],['Engineering' 'Training'],Local Admin,Help Desk Workstation,Moderate,High,High,synthetic_ml_seed,0.9,True
wks-0020,Windows,11,32,64,True,True,[ 139 3389],['Defender' 'OneDrive Sync' 'SSH' 'VPN Client'],['Excel' 'Power BI Desktop' 'SAP GUI' 'VPN Client'],['SOC'],Standard User,Finance Workstation,High,High,Moderate,synthetic_rules,0.87,True
wks-0021,Windows,10,8,8,False,True,[135 445],[],['POS Client' 'Receipt Printer Driver'],['Executives'],Standard User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_ml_seed,0.75,True
wks-0022,macOS,13,32,64,False,True,[ 22 631],['Backup Agent' 'EDR Agent' 'OneDrive Sync'],['Chrome' 'Firefox' 'Office' 'Teams' 'VS Code' 'Zoom'],['Finance'],Power User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.83,True
wks-0023,Windows,11,32,64,True,True,[ 135  139 3389 8000],['Defender' 'OneDrive Sync' 'RDP' 'SSH'],['Anaconda' 'Jupyter' 'PyTorch' 'Python' 'RStudio' 'TensorFlow'],['Data Scientists'],Power User,Data Science Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.95,True
wks-0024,Windows,10,16,16,True,True,[135 445],['EDR Agent' 'Print Spooler' 'RDP' 'VPN Client'],['Excel' 'Power BI Desktop' 'SAP GUI'],['Help Desk'],Standard User,Finance Workstation,High,High,Moderate,synthetic_hybrid,0.85,True
wks-0025,Windows,11,8,16,False,True,[ 135 8000],['Backup Agent' 'Defender' 'EDR Agent' 'RDP'],['Chrome' 'Postman' 'Selenium' 'Teams' 'VPN Client'],['SOC' 'Training'],Power User,QA Test Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.88,True
wks-0026,Windows,11,4,64,False,True,[ 135  445 3389],[],['Chrome' 'Office' 'VS Code'],['Training'],Standard User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.81,True
wks-0027,Windows,11,16,16,False,True,[139],['Backup Agent' 'RDP'],['Firefox' 'Office' 'POS Client' 'Receipt Printer Driver' 'Zoom'],['Engineering'],Local Admin,Point of Sale Workstation,Moderate,High,High,synthetic_rules,0.83,True
wks-0028,Ubuntu Desktop,22.04,4,64,False,True,[631],['OneDrive Sync' 'RDP' 'VPN Client'],['Chrome' 'Office' 'Teams'],['Domain Users' 'IT Operations'],Power User,Standard User Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.87,True
wks-0029,Windows,10,8,64,False,True,[ 135  139 3389],[],['CRM Client' 'Chrome' 'Office' 'Softphone' 'Zoom'],['Finance' 'IT Operations'],Power User,Call Center Workstation,Moderate,Moderate,High,synthetic_rules,0.84,True
wks-0030,Windows,10,16,8,False,True,[135 139 445],['OneDrive Sync' 'RDP' 'SSH' 'VPN Client'],['PowerShell' 'PuTTY' 'RSAT' 'VMware Workstation'],['Executives'],Power User,IT Admin Workstation,High,High,Moderate,synthetic_hybrid,0.73,True
wks-0031,Windows,10,8,8,False,True,[ 135 8000 8888],['Backup Agent' 'OneDrive Sync' 'RDP' 'VPN Client'],['Docker Desktop' 'Firefox' 'Git' 'IntelliJ' 'Node.js' 'PyCharm' 'VS Code'],['Developers' 'SOC'],Standard User,Developer Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.88,True
wks-0032,macOS,13,8,32,False,False,[631],['EDR Agent' 'Print Spooler' 'RDP' 'VPN Client'],['Office' 'Teams' 'Workday'],['Domain Users'],Local Admin,HR Workstation,High,High,Moderate,synthetic_rules,0.84,True
wks-0033,macOS,14,4,8,False,False,[ 22 631],['Print Spooler' 'SSH'],['Chrome' 'Firefox' 'KioskShell' 'Office' 'Zoom'],['QA' 'SOC'],Standard User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.79,True
wks-0034,Windows,11,8,8,False,True,[ 135  139  445 3389],['OneDrive Sync' 'VPN Client'],['Chrome' 'Office' 'VS Code'],['Domain Users'],Standard User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.99,True
wks-0035,Windows,10,8,32,False,True,[ 139 3389 5601],['EDR Agent' 'OneDrive Sync'],['Burp Suite' 'Splunk' 'Sysinternals' 'Wireshark'],['Developers'],Local Admin,SOC Analyst Workstation,High,High,Moderate,synthetic_rules,0.81,True
wks-0036,macOS,13,8,16,False,False,[22],['Print Spooler' 'RDP'],['Chrome' 'Office' 'VS Code'],['HR' 'IT Operations'],Standard User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.82,True
wks-0037,Windows,11,16,32,False,True,[139],['Backup Agent' 'Defender' 'Print Spooler'],['Burp Suite' 'Splunk' 'Sysinternals' 'Wireshark'],['Executives' 'Training'],Local Admin,SOC Analyst Workstation,High,High,Moderate,synthetic_rules,0.73,True
wks-0038,Ubuntu Desktop,22.04,16,8,True,True,[631],['EDR Agent' 'OneDrive Sync'],['Excel' 'Firefox' 'Power BI Desktop' 'SAP GUI' 'Teams' 'Zoom'],['Data Scientists' 'IT Operations'],Local Admin,Finance Workstation,High,High,Moderate,synthetic_rules,0.78,True
wks-0039,Windows,11,32,16,False,True,[139 445],['EDR Agent' 'SSH'],['Office' 'Teams' 'Zoom'],['Developers' 'Help Desk'],Power User,Executive Workstation,High,High,Moderate,synthetic_rules,0.86,True
wks-0040,Windows,11,8,8,False,True,[445],['Print Spooler' 'RDP'],['Firefox' 'PowerShell' 'PuTTY' 'RSAT' 'Teams' 'VMware Workstation'],['Finance' 'QA'],Local Admin,IT Admin Workstation,High,High,Moderate,synthetic_rules,0.74,True
wks-0041,Windows,11,32,16,True,True,[ 135  139  445 3389],['Backup Agent' 'EDR Agent' 'SSH' 'VPN Client'],['Burp Suite' 'Splunk' 'Sysinternals' 'Wireshark'],['Domain Users'],Standard User,SOC Analyst Workstation,High,High,Moderate,synthetic_rules,0.85,True
wks-0042,Windows,10,4,32,True,True,[139],['Defender' 'Print Spooler' 'RDP' 'VPN Client'],['Chrome' 'Firefox' 'Office' 'Teams' 'Zoom'],['Data Scientists' 'Retail'],Standard User,Standard User Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.85,True
wks-0043,Windows,10,8,16,False,True,[445],['Print Spooler' 'RDP' 'VPN Client'],['Office' 'Teams' 'Workday'],['Executives'],Local Admin,HR Workstation,High,High,Moderate,synthetic_hybrid,0.85,True
wks-0044,Windows,10,4,16,False,True,[ 139  445 8000 8888],['Backup Agent' 'OneDrive Sync' 'Print Spooler' 'SSH'],['Docker Desktop' 'Git' 'IntelliJ' 'Node.js' 'PyCharm' 'VS Code'],['Developers' 'Engineering'],Power User,Developer Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.77,True
wks-0045,macOS,13,16,64,False,True,[ 22 631],['Backup Agent' 'Defender' 'OneDrive Sync' 'SSH'],['Office' 'Teams' 'Workday' 'Zoom'],['Engineering'],Standard User,HR Workstation,High,High,Moderate,synthetic_rules,0.98,True
wks-0046,macOS,13,8,16,True,True,[ 22 631],['OneDrive Sync' 'SSH' 'VPN Client'],['Office' 'Teams' 'Zoom'],['Engineering' 'Retail'],Power User,Executive Workstation,High,High,Moderate,synthetic_hybrid,0.96,True
wks-0047,Windows,11,16,16,False,True,[ 135  139  445 3389],[],['CRM Client' 'Chrome' 'Softphone'],['Data Scientists'],Standard User,Call Center Workstation,Moderate,Moderate,High,synthetic_rules,0.84,True
wks-0048,Ubuntu Desktop,22.04,32,8,False,True,[ 22 631],[],['CRM Client' 'Chrome' 'Softphone' 'VPN Client' 'Zoom'],['Executives' 'HR'],Power User,Call Center Workstation,Moderate,Moderate,High,synthetic_hybrid,0.95,True
wks-0049,Ubuntu Desktop,22.04,8,16,False,True,[ 22 631],['Defender' 'EDR Agent'],['PuTTY' 'RDP' 'ServiceNow' 'Teams' 'Zoom'],['Retail'],Standard User,Help Desk Workstation,Moderate,Moderate,High,synthetic_rules,0.77,True
wks-0050,macOS,13,8,64,True,False,[ 22 631],['SSH' 'VPN Client'],['Chrome' 'Postman' 'Selenium' 'Teams' 'Zoom'],['Finance'],Standard User,QA Test Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.81,True
wks-0051,Windows,11,32,64,True,True,[8888],['Defender' 'OneDrive Sync' 'SSH' 'VPN Client'],"['Anaconda' 'Chrome' 'Jupyter' 'PyTorch' 'Python' 'RStudio' 'Teams'
 'TensorFlow' 'Zoom']",['Engineering'],Power User,Data Science Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.88,True
wks-0052,Windows,10,16,16,True,True,[ 139  445 8000 8888],['Backup Agent' 'Defender' 'OneDrive Sync' 'RDP'],['Anaconda' 'Jupyter' 'PyTorch' 'Python' 'RStudio' 'TensorFlow'],['Call Center' 'SOC'],Privileged Admin,Data Science Workstation,Moderate,High,Moderate,synthetic_hybrid,0.97,True
wks-0053,Windows,10,4,16,True,True,[ 135 3389],['Backup Agent' 'EDR Agent' 'Print Spooler'],['Adobe Creative Cloud' 'Blender' 'Figma'],['IT Operations'],Standard User,Graphic Design Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.92,True
wks-0054,Windows,11,16,16,False,True,[135 445],['OneDrive Sync' 'Print Spooler' 'SSH'],['Chrome' 'Firefox' 'KioskShell' 'Office' 'Teams'],['QA'],Power User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.82,True
wks-0055,Windows,10,4,16,False,True,[135],['OneDrive Sync' 'SSH'],['POS Client' 'Receipt Printer Driver'],['Call Center'],Standard User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_ml_seed,0.77,True
wks-0056,Windows,11,4,64,False,True,[ 135  445 3389 8000],['EDR Agent' 'Print Spooler' 'SSH' 'VPN Client'],['Chrome' 'Postman' 'Selenium' 'Teams' 'VPN Client'],['Developers'],Standard User,QA Test Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.92,True
wks-0057,macOS,14,4,16,False,False,[ 22 631],['Backup Agent' 'Defender' 'EDR Agent'],['CRM Client' 'Chrome' 'Softphone'],['Data Scientists'],Standard User,Call Center Workstation,Moderate,Moderate,High,synthetic_ml_seed,0.76,True
wks-0058,Windows,10,4,32,True,True,[445],['Backup Agent' 'Defender' 'Print Spooler' 'RDP'],['Chrome' 'Office' 'Teams'],['Engineering'],Standard User,Standard User Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.76,True
wks-0059,Windows,11,4,32,False,True,[ 135  445 3389],['Backup Agent' 'OneDrive Sync' 'Print Spooler' 'RDP'],['Chrome' 'Office' 'Teams'],['Executives' 'Retail'],Power User,Standard User Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.92,True
wks-0060,macOS,13,16,32,True,False,[ 22 631],['Defender' 'EDR Agent' 'OneDrive Sync'],['Office' 'Teams' 'Zoom'],['Retail' 'Training'],Local Admin,Executive Workstation,High,High,Moderate,synthetic_hybrid,0.71,True
wks-0061,Windows,10,16,64,False,True,[ 135  139  445 3389],['EDR Agent' 'Print Spooler' 'SSH'],['Office' 'Teams' 'VPN Client' 'Workday'],['Call Center'],Standard User,HR Workstation,High,High,Moderate,synthetic_rules,0.77,True
wks-0062,Windows,11,4,16,False,True,[ 135  139  445 3389],['Backup Agent' 'Defender' 'VPN Client'],['Chrome' 'Firefox' 'Office' 'Teams'],['Engineering'],Power User,Standard User Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.9,True
wks-0063,Windows,11,8,16,True,True,[3389],['Backup Agent' 'Defender' 'EDR Agent' 'RDP'],['Chrome' 'Firefox' 'KioskShell' 'Zoom'],['Domain Users'],Standard User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.92,True
wks-0064,Windows,10,16,32,True,True,[ 139  445 3389 5601],['Defender' 'SSH'],['Burp Suite' 'Splunk' 'Sysinternals' 'Wireshark'],['Data Scientists' 'Retail'],Privileged Admin,SOC Analyst Workstation,High,High,Moderate,synthetic_rules,0.7,True
wks-0065,macOS,13,32,16,False,True,[22],['Defender' 'OneDrive Sync' 'SSH'],['PuTTY' 'RDP' 'ServiceNow' 'Teams'],['Data Scientists'],Power User,Help Desk Workstation,Moderate,Moderate,High,synthetic_ml_seed,0.84,True
wks-0066,Windows,10,4,8,False,True,[ 139 3389],['EDR Agent' 'SSH'],['Chrome' 'Excel' 'Power BI Desktop' 'SAP GUI' 'VPN Client' 'Zoom'],['Call Center' 'IT Operations'],Local Admin,Finance Workstation,High,High,Moderate,synthetic_ml_seed,0.7,True
wks-0067,Windows,10,8,64,False,True,[3389],['Backup Agent' 'Defender' 'EDR Agent'],['Docker Desktop' 'Git' 'IntelliJ' 'Node.js' 'PyCharm' 'VS Code'],['Data Scientists' 'Developers'],Standard User,Developer Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.76,True
wks-0068,Windows,11,8,8,False,True,[ 135  139  445 3389],[],['Chrome' 'Office' 'POS Client' 'Receipt Printer Driver' 'Teams'],['Developers' 'Engineering'],Power User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_rules,0.95,True
wks-0069,Windows,11,8,16,True,True,[ 135 3389],[],['Anaconda' 'Jupyter' 'Office' 'PyTorch' 'Python' 'RStudio' 'TensorFlow'],['Call Center' 'Retail'],Standard User,Data Science Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.74,True
wks-0070,Windows,11,8,8,True,True,[139 445],['SSH' 'VPN Client'],['Excel' 'Power BI Desktop' 'SAP GUI'],['Engineering'],Standard User,Finance Workstation,High,High,Moderate,synthetic_rules,0.93,True
wks-0071,Ubuntu Desktop,22.04,4,32,False,True,[22],['Defender' 'EDR Agent' 'SSH' 'VPN Client'],['CRM Client' 'Chrome' 'Softphone'],['Developers' 'Help Desk'],Standard User,Call Center Workstation,Moderate,Moderate,High,synthetic_ml_seed,0.89,True
wks-0072,Ubuntu Desktop,22.04,4,16,False,True,[  22  631 5601],['Defender' 'EDR Agent'],['Burp Suite' 'Office' 'Splunk' 'Sysinternals' 'Wireshark'],['Data Scientists'],Standard User,SOC Analyst Workstation,High,High,Moderate,synthetic_hybrid,0.87,True
wks-0073,macOS,14,32,64,False,False,[ 22 631],['Backup Agent' 'EDR Agent' 'OneDrive Sync' 'Print Spooler'],['Chrome' 'POS Client' 'Receipt Printer Driver'],['HR' 'IT Operations'],Power User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_rules,0.86,True
wks-0074,Windows,11,4,64,True,True,[3389],['Backup Agent' 'Defender' 'Print Spooler' 'VPN Client'],['Office' 'Teams' 'VPN Client' 'Zoom'],['Help Desk'],Power User,Executive Workstation,High,High,Moderate,synthetic_ml_seed,0.93,True
wks-0075,macOS,13,4,16,True,False,[ 22 631],[],['AutoCAD' 'Chrome' 'MATLAB' 'SolidWorks'],['Engineering'],Local Admin,Engineering CAD Workstation,Moderate,High,Moderate,synthetic_hybrid,0.83,True
wks-0076,Windows,10,4,16,True,True,[139 445],['Backup Agent' 'Defender' 'OneDrive Sync' 'VPN Client'],['PowerShell' 'PuTTY' 'RSAT' 'VMware Workstation'],['Finance'],Standard User,IT Admin Workstation,High,High,Moderate,synthetic_hybrid,0.7,True
wks-0077,Windows,10,8,16,False,True,[ 135  139  445 3389],['Defender' 'EDR Agent' 'OneDrive Sync' 'VPN Client'],['Chrome' 'Docker Desktop' 'Git' 'IntelliJ' 'Node.js' 'PyCharm' 'VS Code'],['Developers' 'Help Desk'],Standard User,Developer Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.93,True
wks-0078,macOS,13,8,16,True,False,[ 22 631],['Defender' 'RDP' 'SSH' 'VPN Client'],['AutoCAD' 'MATLAB' 'SolidWorks'],['HR' 'IT Operations'],Standard User,Engineering CAD Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.71,True
wks-0079,Windows,10,16,64,False,True,[ 139 3389],['Backup Agent' 'Print Spooler'],['Docker Desktop' 'Git' 'IntelliJ' 'Node.js' 'PyCharm' 'VS Code' 'Zoom'],['Developers' 'Executives'],Power User,Developer Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.89,True
wks-0080,Windows,11,4,64,False,True,[135 139 445],['Backup Agent' 'Defender' 'EDR Agent' 'VPN Client'],['Chrome' 'KioskShell' 'Office'],['Domain Users' 'Help Desk'],Standard User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.82,True
wks-0081,Windows,10,8,32,False,True,[ 135 3389],['RDP' 'SSH'],['PuTTY' 'RDP' 'ServiceNow' 'Teams'],['Training'],Local Admin,Help Desk Workstation,Moderate,High,High,synthetic_hybrid,0.99,True
wks-0082,Windows,11,4,16,True,True,[ 135  445 3389 8000],[],['Anaconda' 'Jupyter' 'PyTorch' 'Python' 'RStudio' 'TensorFlow' 'Zoom'],['Developers' 'SOC'],Standard User,Data Science Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.92,True
wks-0083,macOS,14,8,16,False,True,[631],[],['Chrome' 'Firefox' 'PowerShell' 'PuTTY' 'RSAT' 'VMware Workstation'],['Retail'],Standard User,IT Admin Workstation,High,High,Moderate,synthetic_ml_seed,0.74,True
wks-0084,Windows,10,32,16,False,True,[ 135  445 3389],['Defender' 'EDR Agent' 'OneDrive Sync'],['Firefox' 'PowerShell' 'PuTTY' 'RSAT' 'VMware Workstation'],['HR'],Local Admin,IT Admin Workstation,High,High,Moderate,synthetic_rules,0.7,True
wks-0085,Windows,10,16,16,False,True,[135],['EDR Agent' 'OneDrive Sync' 'RDP' 'VPN Client'],['Docker Desktop' 'Git' 'IntelliJ' 'Node.js' 'PyCharm' 'VS Code'],['Developers' 'Executives'],Power User,Developer Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.7,True
wks-0086,macOS,14,4,32,False,False,[ 22 631],['Defender' 'EDR Agent' 'SSH' 'VPN Client'],['PuTTY' 'RDP' 'ServiceNow' 'Teams'],['Finance' 'Help Desk'],Power User,Help Desk Workstation,Moderate,Moderate,High,synthetic_hybrid,0.79,True
wks-0087,macOS,13,16,8,False,True,[ 22 631],['EDR Agent' 'RDP'],['Chrome' 'POS Client' 'Receipt Printer Driver' 'Teams'],['Data Scientists' 'SOC'],Standard User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_rules,0.8,True
wks-0088,Ubuntu Desktop,22.04,8,16,True,True,[ 22 631],['OneDrive Sync' 'SSH' 'VPN Client'],['Adobe Creative Cloud' 'Blender' 'Figma'],['Call Center'],Standard User,Graphic Design Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.72,True
wks-0089,macOS,13,16,32,False,False,[ 22 631],[],['CRM Client' 'Chrome' 'Softphone'],['QA'],Standard User,Call Center Workstation,Moderate,Moderate,High,synthetic_rules,0.7,True
wks-0090,Windows,11,16,16,False,True,[ 135  139  445 8000],['Defender' 'Print Spooler' 'VPN Client'],"['Docker Desktop' 'Git' 'IntelliJ' 'Node.js' 'PyCharm' 'Teams'
 'VPN Client' 'VS Code']",['Developers'],Local Admin,Developer Workstation,Moderate,High,Moderate,synthetic_rules,0.8,True
wks-0091,macOS,13,8,16,False,False,[22],[],['Chrome' 'Office' 'VS Code'],['HR' 'Retail'],Power User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.72,True
wks-0092,Windows,10,8,16,True,True,[139],['EDR Agent' 'OneDrive Sync'],['Adobe Creative Cloud' 'Blender' 'Figma' 'VPN Client' 'Zoom'],['Call Center' 'SOC'],Power User,Graphic Design Workstation,Moderate,Moderate,Moderate,synthetic_hybrid,0.93,True
wks-0093,Windows,11,8,64,True,True,[3389],['OneDrive Sync' 'SSH'],['Anaconda' 'Chrome' 'Jupyter' 'PyTorch' 'Python' 'RStudio' 'TensorFlow'],['Developers'],Standard User,Data Science Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.98,True
wks-0094,Windows,10,8,8,False,True,[135 139],['Defender' 'RDP' 'VPN Client'],['Chrome' 'KioskShell'],['Domain Users' 'Finance'],Power User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.73,True
wks-0095,Windows,10,4,8,False,True,[135 445],['Backup Agent' 'Defender' 'OneDrive Sync' 'VPN Client'],['Firefox' 'POS Client' 'Receipt Printer Driver'],['Developers' 'IT Operations'],Standard User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_rules,0.94,True
wks-0096,Ubuntu Desktop,22.04,8,64,False,True,[8888],[],['Chrome' 'Postman' 'Selenium' 'VPN Client' 'Zoom'],['Training'],Power User,QA Test Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.73,True
wks-0097,macOS,13,8,16,False,False,[22],[],['Burp Suite' 'Firefox' 'Splunk' 'Sysinternals' 'Wireshark' 'Zoom'],['Domain Users'],Power User,SOC Analyst Workstation,High,High,Moderate,synthetic_ml_seed,0.75,True
wks-0098,Windows,11,4,32,False,True,[139],['Defender' 'EDR Agent' 'Print Spooler'],['CRM Client' 'Chrome' 'Softphone' 'Teams' 'Zoom'],['Data Scientists'],Standard User,Call Center Workstation,Moderate,Moderate,High,synthetic_hybrid,0.91,True
wks-0099,Windows,10,4,64,False,True,[ 135  139 3389],[],['Chrome' 'POS Client' 'Receipt Printer Driver'],['Retail'],Standard User,Point of Sale Workstation,Moderate,Moderate,High,synthetic_rules,0.7,True
wks-0100,Ubuntu Desktop,22.04,16,8,True,True,[ 22 631],['Backup Agent' 'Print Spooler'],['Chrome' 'KioskShell'],['Call Center'],Standard User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.88,True
wks-0101,Ubuntu Desktop,22.04,32,32,False,True,[  22  631 8000 8888],['Defender' 'Print Spooler' 'SSH'],['Docker Desktop' 'Git' 'IntelliJ' 'Node.js' 'PyCharm' 'VS Code'],['Developers' 'Finance'],Standard User,Developer Workstation,Moderate,Moderate,Moderate,synthetic_ml_seed,0.99,True
wks-0102,Windows,11,4,8,False,True,[3389],[],['Chrome' 'KioskShell'],['Developers' 'Domain Users'],Local Admin,Kiosk Workstation,Moderate,High,Moderate,synthetic_ml_seed,0.7,True
wks-0103,Windows,10,32,64,False,True,[135 445],['Backup Agent' 'EDR Agent' 'OneDrive Sync' 'RDP'],['Office' 'Teams' 'Workday' 'Zoom'],['Finance'],Standard User,HR Workstation,High,High,Moderate,synthetic_rules,0.79,True
